sim_id,Full_Model_LL,Full_Model_AIC,Full_Model_BIC,Full_Model_nparams,Full_Model_beta_GS,No_Interaction_LL,No_Interaction_AIC,No_Interaction_BIC,No_Interaction_nparams,No_PackYears_LL,No_PackYears_AIC,No_PackYears_BIC,No_PackYears_nparams,No_PackYears_beta_GS,LRT_No_Interaction_chi2,LRT_No_Interaction_pvalue,LRT_No_PackYears_chi2,LRT_No_PackYears_pvalue
110,-10891.7568359375,21837.513671875,22050.907835793474,27,0.4635028839111328,-10906.986328125,21861.97265625,22051.656357510867,24,-10958.638671875,21967.27734375,22164.864532563402,25,0.5012845396995544,30.458984375,1.1049123396222882e-06,133.763671875,0.0
111,-10884.6796875,21823.359375,22036.753538918474,27,0.45498427748680115,-10889.6923828125,21827.384765625,22017.068466885867,24,-10934.4140625,21918.828125,22116.415313813402,25,0.49492454528808594,10.025390625,0.01835153428545533,99.46875,0.0
112,-10388.0595703125,20830.119140625,21043.513304543474,27,0.49601104855537415,-10413.9169921875,20875.833984375,21065.517685635867,24,-10456.6005859375,20963.201171875,21160.788360688402,25,0.5261058211326599,51.71484375,3.4449221253396445e-11,137.08203125,0.0
113,-10976.38671875,22006.7734375,22220.167601418474,27,0.46026188135147095,-10997.076171875,22042.15234375,22231.836045010867,24,-11029.69921875,22109.3984375,22306.985626313402,25,0.4958688020706177,41.37890625,5.434421801453482e-09,106.625,0.0
114,-11119.7978515625,22293.595703125,22506.989867043474,27,0.4229130148887634,-11132.3662109375,22312.732421875,22502.416123135867,24,-11168.5361328125,22387.072265625,22584.659454438402,25,0.44727376103401184,25.13671875,1.4456818601571442e-05,97.4765625,0.0
115,-11167.646484375,22389.29296875,22602.687132668474,27,0.5141652226448059,-11168.6923828125,22385.384765625,22575.068466885867,24,-11166.5869140625,22383.173828125,22580.761016938402,25,0.5260980129241943,2.091796875,0.5535740932871,0.0,1.0
116,-10886.791015625,21827.58203125,22040.976195168474,27,0.45868945121765137,-10894.6298828125,21837.259765625,22026.943466885867,24,-10935.185546875,21920.37109375,22117.958282563402,25,0.4904756247997284,15.677734375,0.0013202051579306318,96.7890625,0.0
117,-10970.158203125,21994.31640625,22207.710570168474,27,0.4090079963207245,-10976.3642578125,22000.728515625,22190.412216885867,24,-11025.51171875,22101.0234375,22298.610626313402,25,0.4265284240245819,12.412109375,0.006096878570184261,110.70703125,0.0
118,-11335.1435546875,22724.287109375,22937.681273293474,27,0.47824427485466003,-11344.1279296875,22736.255859375,22925.939560635867,24,-11377.671875,22805.34375,23002.930938813402,25,0.5169670581817627,17.96875,0.00044642553865859025,85.056640625,0.0
119,-10841.2080078125,21736.416015625,21949.810179543474,27,0.472745418548584,-10847.599609375,21743.19921875,21932.882920010867,24,-10913.3173828125,21876.634765625,22074.221954438402,25,0.4975070059299469,12.783203125,0.005129687444650366,144.21875,0.0
